"collar_id","herd_name"
"f598","2020_herd_a_heifers"
"f502","2020_herd_a_heifers"
"f59c","2020_herd_a_heifers"
"f591","2020_herd_a_heifers"
"f589","2020_herd_a_heifers"
"f58a","2020_herd_a_heifers"
"f5ac","2020_herd_a_heifers"
"f57b","2020_herd_a_heifers"
"f59d","2020_herd_a_heifers"
"f5ad","2020_herd_a_heifers"
"f58b","2020_herd_a_heifers"
"f58d","2020_herd_a_heifers"
"f572","2020_herd_a_heifers"
"f5bb","2020_herd_a_heifers"
"f57e","2020_herd_a_heifers"
"f597","2020_herd_a_heifers"
"f5a4","2020_herd_a_heifers"
"f58c","2020_herd_a_heifers"
"f5c3","2020_herd_a_heifers"
"f5cc","2020_herd_a_heifers"
"f585","2020_herd_a_heifers"
"f5e3","2020_herd_a_cows"
"f56d","2020_herd_a_cows"
"f528","2020_herd_a_cows"
"f5c7","2020_herd_a_cows"
"f59e","2020_herd_a_cows"
"f661","2020_herd_a_cows"
"f4fd","2020_herd_a_cows"
"f525","2020_herd_a_cows"
"f5d5","2020_herd_a_cows"
"f5ca","2020_herd_a_cows"
"f5a8","2020_herd_a_cows"
"f5b3","2020_herd_a_cows"
"f5cd","2020_herd_a_cows"
"f527","2020_herd_a_cows"
"f529","2020_herd_a_cows"
"f56c","2020_herd_a_cows"
"f5e1","2020_herd_a_cows"
"f5c1","2020_herd_a_cows"
"f573","2020_herd_a_cows"
"f4fa","2020_herd_a_cows"
"f5d2","2020_herd_a_cows"
"f52d","2020_herd_a_cows"
"f57d","2020_herd_a_cows"
"f507","2020_herd_a_cows"
"f5b2","2020_herd_a_cows"
"f5d0","2020_herd_a_cows"
"f586","2020_herd_a_cows"
"f5c4","2020_herd_a_cows"
"f5ce","2020_herd_a_cows"
"f52c","2020_herd_a_cows"
"f4f6","2020_herd_a_cows"
"f524","2020_herd_a_cows"
"f4fc","2020_herd_a_cows"
"f4fe","2020_herd_a_cows"
"f4ff","2020_herd_a_cows"
"f5bf","2020_herd_a_cows"
"f5d6","2020_herd_a_cows"
"f5cb","2020_herd_a_cows"
"f5c9","2020_herd_a_cows"
"f56e","2020_herd_a_cows"
"f5e7","2020_herd_a_cows"
"f5c2","2020_herd_a_cows"
"f4f0","2020_herd_a_cows"
"f5df","2020_herd_a_cows"
"f663","2020_herd_a_cows"
"f508","2020_herd_a_cows"
"f5e6","2020_herd_a_cows"
"f5de","2020_herd_a_cows"
"f5dd","2020_herd_a_cows"
"f52a","2020_herd_a_cows"
"f506","2020_herd_a_cows"
"f577","2020_herd_a_cows"
"f505","2020_herd_a_cows"
"f5d3","2020_herd_a_cows"
"f5b6","2020_herd_a_cows"
"f662","2020_herd_a_cows"
"f500","2020_herd_a_cows"
"f5d1","2020_herd_a_cows"
"f65d","2020_herd_a_cows"
"f5e8","2020_herd_a_cows"
"f504","2020_herd_a_cows"
"f5e5","2020_herd_a_cows"
"f5d4","2020_herd_a_cows"
"f5e2","2020_herd_a_cows"
"f5e4","2020_herd_a_cows"
"f5b5","2020_herd_a_cows"
"f65e","2020_herd_a_bulls"
"f65f","2020_herd_a_bulls"
"f5db","2020_herd_a_bulls"
"f65c","2020_herd_a_bulls"
"ed61","2020_herd_b"
"ee7e","2020_herd_b"
"eea2","2020_herd_b"
"ef50","2020_herd_b"
"f4f3","2020_herd_b"
"f4f9","2020_herd_b"
"f50a","2020_herd_b"
"f50c","2020_herd_b"
"f50f","2020_herd_b"
"f511","2020_herd_b"
"f516","2020_herd_b"
"f51e","2020_herd_b"
"f521","2020_herd_b"
"f533","2020_herd_b"
"f538","2020_herd_b"
"f584","2020_herd_b"
"f68d","2020_herd_b"
"f6a9","2020_herd_b"
"f6b2","2020_herd_b"
"f6bd","2020_herd_b"
"fa86","2020_herd_b"
"ee41","2020_herd_b"
"f4f7","2020_herd_b"
"f50d","2020_herd_b"
"f513","2020_herd_b"
"f51d","2020_herd_b"
"f530","2020_herd_b"
"f534","2020_herd_b"
"f535","2020_herd_b"
"f582","2020_herd_b"
"f690","2020_herd_b"
"f6ab","2020_herd_b"
"f6bf","2020_herd_b"
"ecf5","2020_herd_b"
"ed94","2020_herd_b"
"ee3b","2020_herd_b"
"ee3f","2020_herd_b"
